epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,21145,0.83796,1.38605,1.04351,0.94371,0.89332,0.94696,0.65971,0.80175,1.32775,1.02445,0.00248436,0.00248436,0.00248436
109,21345.7,0.83704,1.38826,1.04175,0.94406,0.89332,0.9468,0.65952,0.80119,1.32423,1.02407,0.00248082,0.00248082,0.00248082
110,21546.4,0.83538,1.39154,1.04064,0.94406,0.89383,0.94699,0.65994,0.8005,1.3221,1.02369,0.00247727,0.00247727,0.00247727
111,21747.1,0.83458,1.38784,1.0403,0.94498,0.89339,0.94727,0.66071,0.7995,1.31793,1.02319,0.00247373,0.00247373,0.00247373
112,21949.3,0.83241,1.38255,1.03942,0.94443,0.89557,0.94747,0.66108,0.7989,1.31662,1.02284,0.00247019,0.00247019,0.00247019
113,22151.4,0.83018,1.37031,1.03676,0.94442,0.89611,0.94762,0.66172,0.79813,1.31409,1.02226,0.00246664,0.00246664,0.00246664
114,22351.5,0.82924,1.3731,1.03646,0.9441,0.89677,0.94801,0.66273,0.7969,1.31145,1.02136,0.0024631,0.0024631,0.0024631
115,22550.2,0.83198,1.37548,1.03959,0.94357,0.89705,0.94822,0.6622,0.7959,1.30739,1.02074,0.00245956,0.00245956,0.00245956
116,22747.6,0.82826,1.37181,1.03769,0.94183,0.89884,0.94825,0.66242,0.79453,1.30537,1.02021,0.00245601,0.00245601,0.00245601
117,22949.3,0.82753,1.36653,1.03521,0.9448,0.89722,0.9482,0.66284,0.79351,1.30314,1.01973,0.00245247,0.00245247,0.00245247
118,23150.5,0.82792,1.36563,1.03466,0.94459,0.89713,0.9485,0.66379,0.79276,1.30009,1.01904,0.00244892,0.00244892,0.00244892
119,23354.1,0.83044,1.37393,1.03728,0.94558,0.89822,0.94865,0.66418,0.79133,1.29785,1.01829,0.00244538,0.00244538,0.00244538
120,23558.2,0.82422,1.36534,1.03443,0.94564,0.89879,0.9486,0.66469,0.79097,1.29511,1.01807,0.00244184,0.00244184,0.00244184
121,23762.4,0.81947,1.34433,1.03018,0.94708,0.898,0.94849,0.66484,0.78953,1.29246,1.01731,0.00243829,0.00243829,0.00243829
