epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss
62,0.9415654540061951,1.4162861108779907,1.1071726083755493,0.93644,0.84655,0.927,0.618,0.8678,1.58586,1.07541
63,0.854145884513855,1.4770727157592773,1.0527596473693848,0.9374,0.84916,0.92777,0.61958,0.8653,1.57531,1.07366
64,0.9393237233161926,1.6233885288238525,1.0786654949188232,0.93897,0.85151,0.92905,0.62115,0.863,1.56428,1.07179
65,0.8850812911987305,1.5738794803619385,1.0925214290618896,0.93815,0.85384,0.93018,0.62252,0.86058,1.55516,1.07019
66,0.8283672332763672,1.6886082887649536,1.0250126123428345,0.93912,0.85493,0.93087,0.62416,0.85838,1.54444,1.06817
67,0.8040996193885803,1.3550573587417603,1.0754976272583008,0.94013,0.8554,0.9316,0.62557,0.85574,1.53383,1.06607
68,0.8238726258277893,1.5164971351623535,1.0443341732025146,0.9406,0.85731,0.93229,0.62646,0.85265,1.52501,1.06431
69,0.9293856024742126,1.916106939315796,1.0761843919754028,0.94133,0.85949,0.93304,0.62845,0.84989,1.51671,1.06242
70,0.9447845816612244,1.6143742799758911,1.0701435804367065,0.93989,0.86105,0.93375,0.63046,0.84742,1.50886,1.06063
71,0.9580041170120239,1.5811491012573242,1.0868444442749023,0.94047,0.86303,0.93459,0.63198,0.84484,1.50067,1.05874
72,0.7861960530281067,1.6039314270019531,1.0755243301391602,0.93906,0.86561,0.93528,0.63313,0.84291,1.49212,1.05721
73,0.8957213759422302,1.4710325002670288,1.1030843257904053,0.93903,0.86704,0.93581,0.63442,0.84111,1.48543,1.05578
74,0.9182957410812378,1.4437601566314697,1.046638011932373,0.93898,0.86845,0.93637,0.63568,0.84023,1.47852,1.05481
75,0.872980535030365,1.46940279006958,1.063237190246582,0.93953,0.87048,0.93678,0.63647,0.83913,1.47252,1.05371
76,0.9048721194267273,1.4592365026474,1.0922930240631104,0.94169,0.86969,0.93707,0.63746,0.83765,1.46479,1.0525
77,0.8734541535377502,1.7179821729660034,1.058696985244751,0.94101,0.87092,0.93783,0.63906,0.83604,1.45735,1.05098
78,0.8891509771347046,1.4497750997543335,0.9956594705581665,0.9394,0.87375,0.93849,0.64048,0.83417,1.44947,1.0494
79,0.8055160045623779,1.3551465272903442,1.0550932884216309,0.9413,0.87451,0.93912,0.6414,0.8327,1.44372,1.048
80,0.8071786761283875,1.2829724550247192,0.9899788498878479,0.93919,0.87678,0.93934,0.64231,0.8314,1.43907,1.04692
81,0.7775915861129761,1.293346643447876,0.9868552684783936,0.93834,0.87746,0.93912,0.64253,0.82999,1.4337,1.04581
82,0.8522334098815918,1.1662518978118896,1.043236255645752,0.93988,0.87705,0.93947,0.64381,0.8287,1.42797,1.04457
83,0.7840543389320374,1.2865010499954224,1.0172555446624756,0.94068,0.87666,0.93974,0.64471,0.82712,1.42057,1.04332
84,0.8149076104164124,1.3045237064361572,1.0007752180099487,0.93919,0.88018,0.94043,0.64554,0.82523,1.41418,1.04203
85,0.9258326292037964,1.5970786809921265,1.0706980228424072,0.93729,0.88209,0.94058,0.64612,0.82339,1.41089,1.04053
86,0.9037351608276367,1.5574109554290771,1.0601794719696045,0.93888,0.88277,0.94084,0.64711,0.82094,1.40637,1.03906
87,0.8207736015319824,1.417288899421692,0.9876229763031006,0.94002,0.88311,0.94125,0.64795,0.82018,1.40343,1.0381
88,0.8667537569999695,1.4055286645889282,1.0265291929244995,0.93958,0.88287,0.94147,0.64869,0.81909,1.39746,1.03706
89,0.8566879034042358,1.53755784034729,1.0516688823699951,0.9409,0.88224,0.94181,0.64947,0.81812,1.39344,1.03638
90,0.8321254849433899,1.47431218624115,1.05162513256073,0.93979,0.8857,0.94241,0.65023,0.81696,1.38866,1.03557
91,0.9646894335746765,1.5129327774047852,1.127431869506836,0.93995,0.88667,0.94257,0.65165,0.81539,1.38469,1.03476
92,0.8322497606277466,1.1719341278076172,1.0897469520568848,0.94125,0.88651,0.94311,0.65205,0.81431,1.38186,1.03412
93,0.8466772437095642,1.1681040525436401,1.00704026222229,0.94047,0.88611,0.94299,0.65211,0.81372,1.3776,1.0338
94,0.924853503704071,1.6840239763259888,1.0904664993286133,0.94179,0.88604,0.94354,0.65326,0.81236,1.37219,1.03289
95,0.9654018878936768,1.5045521259307861,1.1220300197601318,0.94108,0.88685,0.9437,0.65401,0.81091,1.36883,1.03208
96,0.9144588708877563,1.55747652053833,1.1067936420440674,0.94175,0.88713,0.94428,0.65504,0.80942,1.36416,1.03103
97,0.8348224759101868,1.3415406942367554,1.0748674869537354,0.94144,0.88896,0.94474,0.65573,0.80863,1.36191,1.03028
98,0.9616878628730774,1.8614110946655273,1.1295284032821655,0.94182,0.8893,0.94531,0.65601,0.80798,1.35762,1.02972
99,0.7825149893760681,1.3291202783584595,1.0097029209136963,0.94199,0.88992,0.94544,0.65674,0.80687,1.35326,1.02876
100,0.8121562004089355,1.1886353492736816,1.011162281036377,0.94239,0.89039,0.94569,0.65722,0.80603,1.34922,1.02774
101,0.8590686917304993,1.2539337873458862,1.030788779258728,0.94296,0.89148,0.94597,0.65776,0.80477,1.34535,1.02665
102,0.8600026965141296,1.5010545253753662,1.0377072095870972,0.94212,0.89107,0.94568,0.65821,0.80418,1.34322,1.02604
103,0.7945379614830017,1.345248818397522,1.0534497499465942,0.94431,0.88992,0.94606,0.65884,0.80324,1.33869,1.02507
104,0.884412944316864,1.3760370016098022,1.0956830978393555,0.94383,0.89107,0.94645,0.6587,0.80324,1.3368,1.02523
105,0.802955150604248,1.2444876432418823,1.0431145429611206,0.94275,0.8912,0.94603,0.65837,0.8041,1.33553,1.02559
106,0.7286280393600464,1.1807490587234497,1.0257985591888428,0.94357,0.89162,0.94607,0.65874,0.80313,1.33345,1.02516
107,0.7744761109352112,1.3114382028579712,0.9893252849578857,0.94185,0.89316,0.94616,0.6597,0.80289,1.33036,1.02479
108,0.779975414276123,1.1922088861465454,1.0204323530197144,0.94219,0.89319,0.94594,0.65914,0.80267,1.32995,1.02448
109,0.8666611909866333,1.4478281736373901,1.0441484451293945,0.94371,0.89332,0.94696,0.65971,0.80175,1.32775,1.02445
110,0.8342586159706116,1.6157780885696411,1.0139331817626953,0.94406,0.89332,0.9468,0.65952,0.80119,1.32423,1.02407
111,0.8885182738304138,1.4562302827835083,1.0368283987045288,0.94406,0.89383,0.94699,0.65994,0.8005,1.3221,1.02369
112,0.7488488554954529,1.5239317417144775,1.0086641311645508,0.94498,0.89339,0.94727,0.66071,0.7995,1.31793,1.02319
113,0.9052700996398926,1.3845677375793457,1.044023036956787,0.94443,0.89557,0.94747,0.66108,0.7989,1.31662,1.02284
114,0.9154562950134277,1.6975674629211426,1.0266978740692139,0.94442,0.89611,0.94762,0.66172,0.79813,1.31409,1.02226
115,0.8257899284362793,1.3000398874282837,1.0186998844146729,0.9441,0.89677,0.94801,0.66273,0.7969,1.31145,1.02136
